"X.1","X","id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0","home_nleaders_l20","home_nleaders_l19","home_nleaders_l18","home_nleaders_l17","home_nleaders_l16","home_nleaders_l15","home_nleaders_l14","home_nleaders_l13","home_nleaders_l12","home_nleaders_l11","home_nleaders_l10","home_nleaders_l9","home_nleaders_l8","home_nleaders_l7","home_nleaders_l6","home_nleaders_l5","home_nleaders_l4","home_nleaders_l3","home_nleaders_l2","home_nleaders_l1","home_nleaders_l0","draw_nleaders_l20","draw_nleaders_l19","draw_nleaders_l18","draw_nleaders_l17","draw_nleaders_l16","draw_nleaders_l15","draw_nleaders_l14","draw_nleaders_l13","draw_nleaders_l12","draw_nleaders_l11","draw_nleaders_l10","draw_nleaders_l9","draw_nleaders_l8","draw_nleaders_l7","draw_nleaders_l6","draw_nleaders_l5","draw_nleaders_l4","draw_nleaders_l3","draw_nleaders_l2","draw_nleaders_l1","draw_nleaders_l0","away_nleaders_l20","away_nleaders_l19","away_nleaders_l18","away_nleaders_l17","away_nleaders_l16","away_nleaders_l15","away_nleaders_l14","away_nleaders_l13","away_nleaders_l12","away_nleaders_l11","away_nleaders_l10","away_nleaders_l9","away_nleaders_l8","away_nleaders_l7","away_nleaders_l6","away_nleaders_l5","away_nleaders_l4","away_nleaders_l3","away_nleaders_l2","away_nleaders_l1","away_nleaders_l0","home_leader_l20","home_leader_l19","home_leader_l18","home_leader_l17","home_leader_l16","home_leader_l15","home_leader_l14","home_leader_l13","home_leader_l12","home_leader_l11","home_leader_l10","home_leader_l9","home_leader_l8","home_leader_l7","home_leader_l6","home_leader_l5","home_leader_l4","home_leader_l3","home_leader_l2","home_leader_l1","home_leader_l0","draw_leader_l20","draw_leader_l19","draw_leader_l18","draw_leader_l17","draw_leader_l16","draw_leader_l15","draw_leader_l14","draw_leader_l13","draw_leader_l12","draw_leader_l11","draw_leader_l10","draw_leader_l9","draw_leader_l8","draw_leader_l7","draw_leader_l6","draw_leader_l5","draw_leader_l4","draw_leader_l3","draw_leader_l2","draw_leader_l1","draw_leader_l0","away_leader_l20","away_leader_l19","away_leader_l18","away_leader_l17","away_leader_l16","away_leader_l15","away_leader_l14","away_leader_l13","away_leader_l12","away_leader_l11","away_leader_l10","away_leader_l9","away_leader_l8","away_leader_l7","away_leader_l6","away_leader_l5","away_leader_l4","away_leader_l3","away_leader_l2","away_leader_l1","away_leader_l0"
NA,NA,"2026-03-11_Botafogo RJ_Barcelona SC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.59,1.62,1.62,1.65,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.6,3.6,3.8,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6,6,6.75,7.27,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0375325945302735,0,0,0.0272964840083056,0.0175662013130736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117953564923918,0,0,0.131656117720877,0.100626608239145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.425713382521587,0,0,0.335675549997777,0.389120701884288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet","Stake.com","Stake.com","Megapari","Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","Stake.com","Stake.com","Stake.com","Betway",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","Stake.com","Stake.com","Stake.com","Betfair Exchange",NA
NA,NA,"2026-03-11_Sporting Cristal_Carabobo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.66,1.69,1.69,1.75,1.76,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3.6,3.6,3.8,3.6,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.2,5.2,6,6,4.77,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0250217296868489,0,0,0.0368532348585606,0.0313225983810485,0.0263934308253178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.134258565160069,0,0,0.146304673443005,0.14781112387857,0.0627702712426166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.210029328524803,0,0,0.316503890408441,0.277205304329955,0.241733195096181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet","Stake.com","Stake.com","1xBet","1xBet","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","Stake.com","Stake.com","bet365","Unibet","Betfair Exchange",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unibet","Stake.com","Stake.com","Stake.com","Unibet","BetInAsia"
NA,NA,"2026-03-12_Deportes Tolima_O'Higgins",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71,1.67,1.67,1.67,1.67,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9,3.7,3.7,3.9,4,3.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5.2,5.2,6,6.51,6.5,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0258619523568919,0,0,0.0266953868329514,0.02887060072899,0.0216766054265052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.130425724323146,0,0,0.147291251076492,0.168347319445097,0.111741999757495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.319985280458563,0,0,0.357131612302449,0.397310925446936,0.330280494415107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet","Stake.com","Stake.com",NA,"Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","Stake.com","Stake.com","bet365","bet365","1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unibet","Stake.com","Stake.com","Stake.com","Betfair Exchange","Unibet",NA
NA,NA,"2026-03-13_Ind. Medellin_Juventud",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.55,NA,1.48,1.52,1.52,1.48,1.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,NA,4.2,4.2,4.2,4.2,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.14,NA,7,8.05,8,9,9.08,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0152177182050537,NA,0,0.0239623360377718,0.027097706808616,0.0231763426179123,0.0217124059336724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0970566844684074,NA,0,0.164728515658242,0.676313302057325,0.155871334811353,0.172486024278573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.376163458310906,NA,0,0.538797571060454,1.46271947206847,0.773290844481383,0.875241825993396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","1xBet","Betsson",NA,"Mozzartbet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,"Stake.com","Roobet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1xBet",NA,"Stake.com","1xBet","Unibet","1xBet","BetInAsia",NA
NA,NA,"2026-04-08_La Guaira_Fluminense",NA,NA,NA,NA,NA,NA,NA,NA,4.8,5.4,5.08,5,5,NA,4.7,5.14,4.7,5.7,6.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.95,4,3.9,3.9,3.8,NA,3.7,3.8,3.7,3.9,3.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.67,1.7,1.76,1.76,1.76,NA,1.73,1.76,1.73,1.7,1.68,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,0,0.273742698414159,0.267786367206283,0.205197090997524,0.187849366821889,NA,0,0.201202732790933,0,0.222940964824304,0.335638221710543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.143548112513055,0.157358972269922,0.133238940946764,0.10532878925609,NA,0,0.106971291208703,0,0.107690055019436,0.0942017423085596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0327392955309284,0.0399075855523155,0.042966892442366,0.0283928485036963,NA,0,0.0294715359045203,0,0.0289445964096767,0.0248423601363247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Bets.io","BetInAsia","Betfair","Betfair",NA,"Stake.com","1xBet","Stake.com","1xBet","William Hill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","bet365",NA,"Unibet","bet365",NA,"Stake.com","bet365","Stake.com","bet365","1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Betway","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com","BetInAsia","Stake.com","Mozzartbet","Stake.com",NA,NA
NA,NA,"2026-04-08_Ind. Rivadavia_Bolivar",NA,NA,NA,NA,NA,NA,NA,NA,1.63,1.7,1.7,1.62,1.62,NA,1.59,1.62,1.59,1.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4.1,4.1,NA,4,4.1,4,4.4,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,4.95,5.58,6.08,6.08,NA,5.4,6.22,5.4,7.3,7.3,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,0,0.0303514764255731,0.0308644679950162,0.0292890108034764,0.0292890108034764,NA,0,0.0278772820974868,0,0.0222608102281624,0.0221681882757381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.116217440629595,0.136212503661911,0.142828568570857,0.1445459735224,NA,0,0.130269561794606,0,0.159249577103007,0.15493675104828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.168132085779004,0.291730117640366,0.313921107188512,0.313921107188512,NA,0,0.29835740791397,0,0.425505885349455,0.417364368235977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,3,3,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,"Unibet",NA,NA,NA,"Stake.com","Mozzartbet","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,"bwin","bwin","bwin",NA,"Stake.com","bwin","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Bets.io","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com","1xBet","Stake.com","1xBet","1xBet",NA,NA
NA,NA,"2026-04-08_Barcelona SC_Cruzeiro",NA,NA,NA,NA,NA,NA,NA,NA,3.05,3.1,3.35,3.35,3.35,NA,3.2,3.35,3,3.15,3.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,3.25,3.25,3.2,3.2,NA,3.15,3.2,3.1,3.2,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.36,2.4,2.4,2.35,2.35,NA,2.34,2.41,2.47,2.52,2.54,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0,0.0797398367093986,0.1141604808356,0.0801460205835862,0.0801460205835862,NA,0,0.0713052904379784,0,0.0627134501290949,0.0700861148307102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0827032456426399,0.110166307846888,0.0878530241150176,0.0878530241150176,NA,0,0.0869738147056023,0,0.0935838247979565,0.0864025278877698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.037566679534601,0.0431811924871857,0.0242804131253663,0.0242804131253663,NA,0,0.0348420472126461,0,0.0469611285382164,0.048547146124416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,2,1,1,NA,1,1,1,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","bet365","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com","Mozzartbet","Stake.com","Mozzartbet","Megapari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"bet365","bet365",NA,"Stake.com","bet365","Stake.com","bet365",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Unibet","Unibet",NA,"Stake.com","1xBet","Stake.com",NA,"William Hill",NA,NA
NA,NA,"2026-04-08_Always Ready_LDU Quito",NA,NA,NA,NA,NA,NA,NA,NA,2.37,2.35,2.54,2.54,2.54,NA,2.5,2.5,2.5,2.56,2.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.45,3.55,3.55,3.55,3.55,NA,3.45,3.56,3.45,3.56,3.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.85,3.25,2.88,2.88,2.88,NA,2.7,2.85,2.7,2.85,2.85,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0,0.079674663149912,0.0620173672946042,0.0517627724854901,0.0517627724854901,NA,0,0.0437598061572562,0,0.0431884318042602,0.0440201973845845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0852802865422442,0.0954277817957723,0.0936835918643995,0.0936835918643995,NA,0,0.0696567548200711,0,0.0768126177988971,0.272864289775926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.121291748737036,0.0906862723900371,0.0828344038521342,0.0828344038521342,NA,0,0.063167703220544,0,0.0691841944588745,0.156809458736412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com",NA,"Stake.com","1xBet","1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","BetInAsia","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com","1xBet","Stake.com","1xBet","1xBet",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Bets.io","Unibet","Unibet","Unibet",NA,"Stake.com","Mozzartbet","Stake.com","Mozzartbet","Megapari",NA,NA
NA,NA,"2026-04-08_U. Catolica_Boca Juniors",NA,NA,NA,NA,NA,NA,NA,NA,3.35,3.3,3.6,3.62,3.62,NA,3.5,3.72,3.5,3.6,3.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,3.3,3.25,3.2,3.25,NA,3.2,3.22,3.2,3.2,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,2.25,2.2,2.2,2.2,NA,2.16,2.2,2.16,2.3,2.3,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,0,0.555277055797961,0.127401793281009,0.137082217634288,0.110269031279228,NA,0,0.527342838594387,0,0.105985922994593,0.10404059036955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.615231781467388,0.0941714073817205,0.086727695240293,0.0944379082705591,NA,0,0.474429506925161,0,0.0860712145159691,0.0902201892022098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.279652994086331,0.0368609571054546,0.0297520618644353,0.0296719274807566,NA,0,0.212574813204913,0,0.0465985898008574,0.0430908969136799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,3,1,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,3,1,1,NA,1,3,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","bet365","BetInAsia","BetInAsia","BetInAsia",NA,"Stake.com","1xBet","Stake.com",NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Betsson",NA,NA,"Unibet",NA,"Stake.com","1xBet","Stake.com",NA,"Megapari",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"bwin","bwin",NA,"Stake.com",NA,"Stake.com","BetInAsia",NA,NA,NA
NA,NA,"2026-04-08_Deportes Tolima_U. de Deportes",NA,NA,NA,NA,NA,NA,NA,NA,2.35,2.38,2.38,2.42,2.32,NA,2.32,2.32,2.21,2.32,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,3.15,3.15,3.15,3.15,NA,3.1,3.1,2.9,3.05,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.15,3.55,4.47,4.1,4.1,NA,4.1,4.1,3.8,4.1,4.09,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,NA,0,0.0761520465853295,0.0592010295920763,0.0756272472028469,0.0482597588991525,NA,0.045404946816424,0.0491500336363223,0,0.0493669603499501,0.041029531558294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0758786910639328,0.109639314211551,0.163023382913689,0.154381884409299,NA,0.139430697983729,0.135170143678016,0,0.125254579466858,0.109002935413221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.149602648308619,0.377643639711724,0.258902110903528,0.227636073191798,NA,0.256927916005615,0.209480925299933,0,0.198591816743338,0.254439371834223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,2,1,1,NA,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com","Stake.com","Bets.io","Bets.io",NA,"Bets.io","Bets.io","Stake.com",NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,"Stake.com","Stake.com",NA,NA,NA,"Stake.com","BetInAsia","Betfair",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Bets.io","BetInAsia","bet365",NA,NA,NA,NA,"Stake.com","bet365","BetInAsia",NA,NA
