"X.1","X","id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0","home_nleaders_l20","home_nleaders_l19","home_nleaders_l18","home_nleaders_l17","home_nleaders_l16","home_nleaders_l15","home_nleaders_l14","home_nleaders_l13","home_nleaders_l12","home_nleaders_l11","home_nleaders_l10","home_nleaders_l9","home_nleaders_l8","home_nleaders_l7","home_nleaders_l6","home_nleaders_l5","home_nleaders_l4","home_nleaders_l3","home_nleaders_l2","home_nleaders_l1","home_nleaders_l0","draw_nleaders_l20","draw_nleaders_l19","draw_nleaders_l18","draw_nleaders_l17","draw_nleaders_l16","draw_nleaders_l15","draw_nleaders_l14","draw_nleaders_l13","draw_nleaders_l12","draw_nleaders_l11","draw_nleaders_l10","draw_nleaders_l9","draw_nleaders_l8","draw_nleaders_l7","draw_nleaders_l6","draw_nleaders_l5","draw_nleaders_l4","draw_nleaders_l3","draw_nleaders_l2","draw_nleaders_l1","draw_nleaders_l0","away_nleaders_l20","away_nleaders_l19","away_nleaders_l18","away_nleaders_l17","away_nleaders_l16","away_nleaders_l15","away_nleaders_l14","away_nleaders_l13","away_nleaders_l12","away_nleaders_l11","away_nleaders_l10","away_nleaders_l9","away_nleaders_l8","away_nleaders_l7","away_nleaders_l6","away_nleaders_l5","away_nleaders_l4","away_nleaders_l3","away_nleaders_l2","away_nleaders_l1","away_nleaders_l0","home_leader_l20","home_leader_l19","home_leader_l18","home_leader_l17","home_leader_l16","home_leader_l15","home_leader_l14","home_leader_l13","home_leader_l12","home_leader_l11","home_leader_l10","home_leader_l9","home_leader_l8","home_leader_l7","home_leader_l6","home_leader_l5","home_leader_l4","home_leader_l3","home_leader_l2","home_leader_l1","home_leader_l0","draw_leader_l20","draw_leader_l19","draw_leader_l18","draw_leader_l17","draw_leader_l16","draw_leader_l15","draw_leader_l14","draw_leader_l13","draw_leader_l12","draw_leader_l11","draw_leader_l10","draw_leader_l9","draw_leader_l8","draw_leader_l7","draw_leader_l6","draw_leader_l5","draw_leader_l4","draw_leader_l3","draw_leader_l2","draw_leader_l1","draw_leader_l0","away_leader_l20","away_leader_l19","away_leader_l18","away_leader_l17","away_leader_l16","away_leader_l15","away_leader_l14","away_leader_l13","away_leader_l12","away_leader_l11","away_leader_l10","away_leader_l9","away_leader_l8","away_leader_l7","away_leader_l6","away_leader_l5","away_leader_l4","away_leader_l3","away_leader_l2","away_leader_l1","away_leader_l0"
NA,NA,"2026-03-21_Athletic Club_Ponte Preta",NA,NA,1.85,NA,NA,1.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.25,NA,NA,3.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,NA,NA,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0204939015319192,NA,NA,0.0272005382491919,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0409878030638384,NA,NA,0.0356453115471603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0928080456282393,NA,NA,0.0635753888337263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N1 Bet",NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betsson",NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Avai_Juventude",NA,NA,2.31,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0196214168703485,NA,NA,0.0366220762735843,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0354024481262714,NA,NA,0.0425955289316534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.042190046219458,NA,NA,0.0393409763262257,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duelbits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Botafogo SP_Fortaleza",NA,NA,3.05,NA,NA,3.05,3.05,NA,3.05,3.05,3.05,3.05,3.05,3.05,3.05,3.2,3.8,3.7,3.7,3.7,3.83,NA,NA,3,NA,NA,3.2,3.1,NA,3.2,3.2,3.2,3.2,3.2,3.15,3.1,3.2,3.35,3.1,3.2,3.35,3.35,NA,NA,2.4,NA,NA,2.41,2.39,NA,2.39,2.41,2.4,2.4,2.4,2.4,2.39,2.42,2.18,2.09,2.11,2.18,2.18,"1",NA,NA,0.0436463056855903,NA,NA,0.0344518229499566,0.0447213595499956,NA,0.0366742416417844,0.0342997170285016,0.0692516387797734,0.0445917150671689,0.0445917150671689,0.0513399403358069,0.0683130051063973,0.0766289762426721,0.0993633925496012,0.136626010212795,0.136626010212795,0.0895579975247042,0.128187610524822,NA,NA,0.0249999999999999,NA,NA,0.0811840481449565,0.0516397779494323,NA,0.084656167328002,0.0816656662603792,0.0764267795447312,0.0788068925652412,0.0788068925652412,0.0690156351469494,0.0516397779494323,0.0706018086497463,0.0894387331502537,0.0516397779494323,0.0930949336251263,0.0816593777116503,0.0996565530782024,NA,NA,0.0196214168703485,NA,NA,0.031477764742793,0.0403319558993446,NA,0.03605551275464,0.0378162049851268,0.0385117890357855,0.0368353377242989,0.0368353377242989,0.0370490428884117,0.0403319558993446,0.0300563573206171,0.035323814007085,0.0403319558993444,0.0287518115371305,0.0249698230568834,0.0293690259038274,NA,NA,1,NA,NA,2,1,NA,2,2,2,2,2,2,1,1,1,1,1,1,1,NA,NA,5,NA,NA,1,1,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,2,NA,NA,1,1,NA,3,1,1,2,2,2,1,1,1,1,1,1,1,NA,NA,"N1 Bet",NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,"Stake.com","Mozzartbet","Mozzartbet","bet365.us","bet365.us","bet365","BetInAsia",NA,NA,NA,NA,NA,"Stake.com","BetMGM.us",NA,"N1 Bet","Stake.com","Unibet","Unibet","Unibet","Unibet","BetMGM.us","Mozzartbet","Mozzartbet",NA,"BetMGM.us","Mozzartbet","Mozzartbet",NA,NA,NA,NA,NA,"Duelbits","Stake.com",NA,NA,"Duelbits","N1 Bet",NA,NA,NA,"Stake.com","N1 Bet","Unibet","Stake.com","Stake.com","Unibet","Unibet"
NA,NA,"2026-03-21_Ceara_Sao Bernardo",NA,NA,1.59,NA,NA,1.59,1.59,NA,1.6,1.6,1.6,1.6,1.6,1.6,1.62,1.7,1.75,1.65,1.65,1.62,1.6,NA,NA,3.75,NA,NA,3.8,3.75,NA,3.8,3.8,3.8,3.8,3.75,3.8,3.7,3.8,3.8,3.7,3.7,3.9,3.94,NA,NA,5.7,NA,NA,6,5.6,NA,6,6,6,6,6,6.1,5.4,5.8,5.8,5.2,5.25,6.32,6.51,"X",NA,NA,0.0191485421551268,NA,NA,0.0180050827972533,0.027325202042559,NA,0.0204939015319192,0.0194028500029067,0.0226878126337746,0.0183819133074364,0.0183819133074364,0.0182381901225798,0,0.026266315973861,0.0403195789809102,0.0186189867250252,0.0154919333848296,0.0277860305200922,0.0185592145427668,NA,NA,0.0567450438364444,NA,NA,0.0644940084363113,0.025819888974716,NA,0.0816496580927725,0.0760804527728223,0.07480500968307,0.0714953071702501,0.0637511609801405,0.0707925062938756,0.0930949336251263,0.0976415432474412,0.0818807445495322,0.0894427190999917,0.0516397779494323,0.092828567031614,0.0826390122714831,NA,NA,0.128937969582276,NA,NA,0.194028500029066,0.161245154965971,NA,0.202381652659853,0.19570552775732,0.22716791841696,0.22716791841696,0.22716791841696,0.246288235075982,0.30441200151549,0.284473906054328,0.295080278511608,0.103279555898865,0.118321595661992,0.33446332278101,0.375648011536636,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,3,1,1,1,1,5,2,NA,NA,2,NA,NA,1,1,NA,1,1,1,1,2,1,1,2,1,1,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,2,2,2,1,1,2,2,1,1,1,1,NA,NA,"N1 Bet",NA,NA,"N1 Bet","Stake.com",NA,"Bets.io","Betsson","Betway","Betway","Betway","Betway",NA,"1xBet","1xBet","Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,"Stake.com","bet365.us",NA,"N1 Bet","Stake.com","Unibet","Unibet",NA,"Unibet","bet365.us",NA,"Unibet","bet365.us","bet365.us","bet365","BetInAsia",NA,NA,"Bets.io",NA,NA,"Stake.com","Stake.com",NA,"N1 Bet","Stake.com",NA,NA,NA,"Unibet","Stake.com",NA,NA,"Stake.com","bet365.us","Betfair Exchange","Betfair Exchange"
NA,NA,"2026-03-21_Cuiaba_Sport Recife",NA,NA,2.25,NA,NA,2.25,2.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4,NA,NA,3.55,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0369734089182073,NA,NA,0.0334414911948216,0.0450185147096911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0246291170485952,NA,NA,0.0484424056655598,0.025819888974716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.086773673021662,NA,NA,0.0963932916061416,0.103279555898864,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Betway","BetMGM.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Goias_America MG",NA,NA,1.85,NA,NA,1.84,1.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.35,NA,NA,3.45,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,NA,NA,4.5,4.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0202895703913776,NA,NA,0.0173393654662229,0.0236643191323985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0379253653025694,NA,NA,0.0661746550222989,0.0516397779494323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0603876367037711,NA,NA,0.0980995892538021,0.0608824003030979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duelbits",NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N1 Bet",NA,NA,"Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bets.io",NA,NA,"Stake.com","bet365.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Nautico_Criciuma",NA,NA,2.41,NA,NA,2.04,2.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.25,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3.85,3.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0209364116632563,NA,NA,0.0231505445382673,0.0357770876399967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0240831891575845,NA,NA,0.0641688947919749,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0434357763446985,NA,NA,0.102949952940531,0.143759057685652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Duelbits",NA,NA,"N1 Bet","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","bet365.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Novorizontino_Londrina",NA,NA,1.58,NA,NA,1.6,1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.75,NA,NA,3.75,3.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,6,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0178418982547635,NA,NA,0.0194028500029067,0.0258198889747161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0567450438364444,NA,NA,0.0567300683376529,0.0683130051063973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.175949803447839,NA,NA,0.158010506807104,0.154919333848297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"bet365","bet365.us",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,"2026-03-21_Operario-PR_Atletico GO",NA,NA,2.25,NA,NA,2.26,2.24,NA,2.27,2.26,2.26,2.27,2.2,2.2,2,2.05,2.23,2.05,2.05,2.06,2.03,NA,NA,3.05,NA,NA,3.1,3.05,NA,3.1,3.1,3.1,3.1,3.16,3.2,3.2,3.1,3.3,3.1,3.1,3.3,3.35,NA,NA,3.3,NA,NA,3.5,3.3,NA,3.45,3.45,3.45,3.45,4.22,3.99,3.9,3.75,4.04,3.9,4.1,4.23,4.23,"1",NA,NA,0.408346258298845,NA,NA,0.36793019932991,0.0206559111797729,NA,0.384405151190041,0.366303009456436,0.349451022771457,0.351272270172594,0.0664066725099682,0.0656517619424936,0.0516397779494323,0.025819888974716,0.0490059925069099,0.0774596669241483,0.0464758001544889,0.020071301473924,0.0309017901572164,NA,NA,0.684941603350242,NA,NA,0.62122459706615,0.025819888974716,NA,0.649760136738256,0.619949064121612,0.591597733927268,0.595192864082346,0.181134883867924,0.118285183414427,0.0894427190999917,0.0516397779494323,0.0900035272677406,0.0516397779494323,0,0.0910886538331908,0.0912923091738057,NA,NA,0.747269473929363,NA,NA,0.68780352151652,0.0447213595499956,NA,0.722692858218664,0.686778137775451,0.654715826792673,0.656786087982964,0.250996782081732,0.179976066784961,0.0774596669241483,0.0683130051063973,0.160468559942933,0.134164078649987,0.269567554922076,0.152057841960181,0.131850083217435,NA,NA,3,NA,NA,1,1,NA,1,1,1,1,1,1,2,2,1,2,2,1,2,NA,NA,2,NA,NA,1,1,NA,1,1,1,2,1,1,1,2,1,2,3,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,2,1,1,1,1,1,1,NA,NA,NA,NA,NA,"Duelbits","Stake.com",NA,"bwin","Duelbits","N1 Bet","N1 Bet","Unibet","Unibet",NA,NA,"Unibet",NA,NA,"BetInAsia",NA,NA,NA,NA,NA,NA,"Stake.com","Stake.com",NA,"N1 Bet","Stake.com","Unibet",NA,"BetInAsia","bet365","bet365.us",NA,"Mozzartbet",NA,NA,"Mozzartbet","Mozzartbet",NA,NA,"bet365",NA,NA,"Stake.com","bet365.us",NA,"N1 Bet","Stake.com","Unibet","Unibet","BetInAsia","BetInAsia",NA,"Stake.com","Betfair Exchange","bet365.us","bet365.us","Betfair Exchange","Betfair Exchange"
NA,NA,"2026-03-21_Vila Nova FC_CRB",NA,NA,2.16,NA,NA,2.15,2.15,NA,2.17,2.18,2.19,2.18,2.75,2.73,2.7,2.73,2.71,2.6,2.75,2.75,2.78,NA,NA,3.15,NA,NA,3.35,3.15,NA,3.35,3.35,3.35,3.35,3.3,3.2,2.95,3.25,3.25,3.1,3.1,3.3,3.25,NA,NA,3.5,NA,NA,3.5,3.5,NA,3.5,3.5,3.5,3.5,3,3.05,2.75,3.05,3.05,2.7,2.75,2.9,2.9,"X",NA,NA,0.0280178514522438,NA,NA,0.0247338776960336,0.0225092573548454,NA,0.0282064601750094,0.0298607881119482,0.0423643345528437,0.0307211791712688,0.133296531717691,0.0971454035826165,0.0683130051063975,0.0940465739116324,0.0867680744987934,0.0516397779494323,0.0930949336251263,0.0828461952264078,0.0833961667879324,NA,NA,0.0341565025531987,NA,NA,0.0875818944491047,0.025819888974716,NA,0.129241234531773,0.113834675443528,0.112507309704046,0.123933357592631,0.128231392581107,0.0932993135278171,0.0413118223595458,0.11714169803855,0.115913791802895,0.0516397779494323,0.118771489283694,0.491266261494253,0.0921489477499802,NA,NA,0.0762342879986865,NA,NA,0.0765429521864148,0.103279555898865,NA,0.0864437821507566,0.0730296743340222,0.0759223980543014,0.0727606875108999,0.104413430659875,0.115342516462474,0.025819888974716,0.0934961617290491,0.0908506050726561,0.0258198889747163,0.0683130051063973,0.0981042529375992,0.0764365075244786,NA,NA,1,NA,NA,3,1,NA,1,1,1,1,1,1,1,1,1,2,1,1,1,NA,NA,1,NA,NA,1,1,NA,1,1,1,1,1,1,2,1,1,2,2,1,1,NA,NA,2,NA,NA,2,2,NA,1,1,1,1,1,1,1,1,1,2,1,2,1,NA,NA,"Duelbits",NA,NA,NA,"BetMGM.us",NA,"bwin","Bets.io","N1 Bet","Betsson","BetInAsia","BetInAsia","bet365.us","BetInAsia","BetInAsia",NA,"bet365.us","bet365","BetInAsia",NA,NA,"N1 Bet",NA,NA,"Stake.com","Stake.com",NA,"Duelbits","N1 Bet","Unibet","Stake.com","Unibet","Unibet",NA,"Stake.com","Unibet",NA,NA,"Betfair","Unibet",NA,NA,NA,NA,NA,NA,NA,NA,"bet365","bet365","bet365","bet365","Unibet","Unibet","Stake.com","Stake.com","Unibet",NA,"bet365.us",NA,"Mozzartbet"
