"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0"
"2025-08-30_Alianza Huanuco_Los Chankas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,1.57,1.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.79,3.79,3.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,5.32,5.16,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-31_Grau_AD Tarma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.79,1.79,1.8,NA,NA,1.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.52,3.52,3.52,NA,NA,3.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.07,4.06,4.05,NA,NA,5,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0249019240241757,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.137213385744661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.335933509420127,NA,NA,NA,NA,NA
"2025-09-12_Cajamarca_Ayacucho",NA,NA,NA,1.77,1.77,1.77,NA,NA,1.77,1.77,1.77,NA,1.78,NA,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA,3.64,3.64,3.63,NA,NA,3.6,3.6,3.6,NA,3.55,NA,NA,NA,NA,NA,NA,3.14,NA,NA,NA,NA,4.23,4.23,4.1,NA,NA,4.13,4.13,4.13,NA,4.06,NA,NA,NA,NA,NA,NA,3.41,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-12_Sport Huancayo_Los Chankas",NA,NA,NA,1.97,1.97,1.96,NA,NA,1.96,1.96,1.78,NA,1.78,NA,NA,NA,NA,NA,NA,1.55,NA,NA,NA,NA,3.43,3.43,3.3,NA,NA,3.31,3.31,3.47,NA,3.46,NA,NA,NA,NA,NA,NA,3.91,NA,NA,NA,NA,3.65,3.65,3.65,NA,NA,3.58,3.58,4.17,NA,4.15,NA,NA,NA,NA,NA,NA,5.45,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-13_Sport Boys_Comerciantes Unidos",NA,NA,1.64,1.64,1.62,NA,NA,1.64,1.64,1.64,NA,1.64,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,3.57,3.57,3.53,NA,NA,3.41,3.41,3.41,NA,3.39,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,5.78,5.78,5.72,NA,NA,5.41,5.41,5.41,NA,5.38,NA,NA,NA,NA,NA,NA,5.86,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-13_Alianza Atl._Juan Pablo II",NA,NA,1.57,1.57,1.55,NA,NA,1.56,1.56,1.56,NA,1.58,NA,NA,NA,NA,NA,NA,1.53,NA,NA,NA,NA,3.98,4.03,4,NA,NA,3.94,3.94,3.91,NA,3.83,NA,NA,NA,NA,NA,NA,3.72,NA,NA,NA,NA,5.11,5.09,5.19,NA,NA,4.94,4.94,4.94,NA,4.94,NA,NA,NA,NA,NA,NA,6.01,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-14_Alianza Lima_Deportivo Garcilaso",NA,2.1,2.1,2.09,NA,NA,2.09,1.26,1.26,NA,1.28,NA,NA,NA,NA,NA,NA,1.35,NA,NA,NA,NA,3.39,3.39,3.36,NA,NA,3.32,5.13,5.13,NA,5,NA,NA,NA,NA,NA,NA,4.63,NA,NA,NA,NA,3.24,3.24,3.21,NA,NA,3.2,8.65,8.65,NA,8.32,NA,NA,NA,NA,NA,NA,7.77,NA,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-12_Cajamarca_Ayacucho",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77,1.77,NA,1.78,NA,NA,NA,NA,NA,NA,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,3.6,NA,3.55,NA,NA,NA,NA,NA,NA,3.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,4.13,NA,4.06,NA,NA,NA,NA,NA,NA,3.41,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0261618891604648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0881917103688197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.187379590967403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-12_Sport Huancayo_Los Chankas",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.96,1.78,NA,1.78,NA,NA,NA,NA,NA,NA,1.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.31,3.47,NA,3.46,NA,NA,NA,NA,NA,NA,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.58,4.17,NA,4.15,NA,NA,NA,NA,NA,NA,5.45,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0403018910752638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.156137080409453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.111191889828514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-09-13_Sport Boys_Comerciantes Unidos",NA,NA,NA,NA,NA,NA,NA,NA,1.64,1.64,NA,1.64,NA,NA,NA,NA,NA,NA,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.41,3.41,NA,3.39,NA,NA,NA,NA,NA,NA,3.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.41,5.41,NA,5.38,NA,NA,NA,NA,NA,NA,5.86,NA,NA,"2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
