"id","home_odds_l20","home_odds_l19","home_odds_l18","home_odds_l17","home_odds_l16","home_odds_l15","home_odds_l14","home_odds_l13","home_odds_l12","home_odds_l11","home_odds_l10","home_odds_l9","home_odds_l8","home_odds_l7","home_odds_l6","home_odds_l5","home_odds_l4","home_odds_l3","home_odds_l2","home_odds_l1","home_odds_l0","draw_odds_l20","draw_odds_l19","draw_odds_l18","draw_odds_l17","draw_odds_l16","draw_odds_l15","draw_odds_l14","draw_odds_l13","draw_odds_l12","draw_odds_l11","draw_odds_l10","draw_odds_l9","draw_odds_l8","draw_odds_l7","draw_odds_l6","draw_odds_l5","draw_odds_l4","draw_odds_l3","draw_odds_l2","draw_odds_l1","draw_odds_l0","away_odds_l20","away_odds_l19","away_odds_l18","away_odds_l17","away_odds_l16","away_odds_l15","away_odds_l14","away_odds_l13","away_odds_l12","away_odds_l11","away_odds_l10","away_odds_l9","away_odds_l8","away_odds_l7","away_odds_l6","away_odds_l5","away_odds_l4","away_odds_l3","away_odds_l2","away_odds_l1","away_odds_l0","result","home_sd_l20","home_sd_l19","home_sd_l18","home_sd_l17","home_sd_l16","home_sd_l15","home_sd_l14","home_sd_l13","home_sd_l12","home_sd_l11","home_sd_l10","home_sd_l9","home_sd_l8","home_sd_l7","home_sd_l6","home_sd_l5","home_sd_l4","home_sd_l3","home_sd_l2","home_sd_l1","home_sd_l0","draw_sd_l20","draw_sd_l19","draw_sd_l18","draw_sd_l17","draw_sd_l16","draw_sd_l15","draw_sd_l14","draw_sd_l13","draw_sd_l12","draw_sd_l11","draw_sd_l10","draw_sd_l9","draw_sd_l8","draw_sd_l7","draw_sd_l6","draw_sd_l5","draw_sd_l4","draw_sd_l3","draw_sd_l2","draw_sd_l1","draw_sd_l0","away_sd_l20","away_sd_l19","away_sd_l18","away_sd_l17","away_sd_l16","away_sd_l15","away_sd_l14","away_sd_l13","away_sd_l12","away_sd_l11","away_sd_l10","away_sd_l9","away_sd_l8","away_sd_l7","away_sd_l6","away_sd_l5","away_sd_l4","away_sd_l3","away_sd_l2","away_sd_l1","away_sd_l0"
"2025-08-24_AEK Athens FC_Panserraikos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.25,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-24_PAOK_AEL Larissa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-25_Levadiakos_Kifisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1.88",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3.31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.18",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0226517868671737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.139894870215615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.197901635847874,NA
"2025-08-30_Volos_Olympiacos Piraeus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.25,NA,NA,13.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.61,NA,NA,5.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.23,NA,NA,1.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-30_Panserraikos_OFI Crete",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.49,NA,NA,2.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,3.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.88,NA,NA,2.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-30_Aris_Panetolikos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.52,NA,NA,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.03,NA,NA,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.43,NA,NA,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0230559959092732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0738419364517709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.126761275840185,NA,NA,NA,NA,NA,NA
"2025-08-30_AEL Larissa_Kifisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.17,NA,NA,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.23,NA,NA,3.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0391671537651887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0523303118513691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06300183147521,NA,NA,NA,NA,NA,NA
"2025-08-31_AEK Athens FC_Asteras Tripolis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.35,NA,NA,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.83,NA,NA,5.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.05,NA,NA,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-31_PAOK_Atromitos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.61,NA,NA,4.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.2,NA,NA,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2025-08-31_Panathinaikos_Levadiakos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.22,NA,NA,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.16,NA,NA,5.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.75,NA,NA,9.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
